iter	Passed	Remaining
572	3962	2952
573	3970	2946
574	3978	2940
575	3986	2934
576	3994	2928
577	4002	2922
578	4010	2916
579	4018	2910
580	4025	2902
581	4032	2896
582	4039	2889
583	4047	2882
584	4053	2875
585	4060	2868
586	4067	2862
587	4075	2855
588	4082	2848
589	4088	2841
590	4096	2834
591	4102	2827
592	4108	2820
593	4114	2812
594	4120	2804
595	4126	2797
596	4132	2789
597	4138	2781
598	4146	2775
599	4153	2768
600	4161	2763
601	4168	2755
602	4175	2749
603	4182	2741
604	4188	2734
605	4195	2727
606	4201	2719
607	4207	2712
608	4213	2705
609	4218	2697
610	4226	2690
611	4232	2683
612	4240	2677
613	4248	2670
614	4255	2663
615	4261	2656
616	4267	2649
617	4275	2642
618	4281	2635
619	4288	2628
620	4294	2621
621	4300	2613
622	4308	2607
623	4314	2599
624	4322	2593
625	4330	2587
626	4338	2581
627	4346	2574
628	4353	2567
629	4360	2560
630	4367	2553
631	4374	2547
632	4381	2540
633	4388	2533
634	4395	2526
635	4402	2519
636	4409	2512
637	4415	2505
638	4423	2498
639	4429	2491
640	4436	2484
641	4443	2477
642	4449	2470
643	4457	2464
644	4464	2457
645	4471	2450
646	4478	2443
647	4486	2437
648	4493	2430
649	4500	2423
650	4507	2416
651	4513	2409
652	4521	2402
653	4528	2395
654	4538	2390
655	4545	2383
656	4554	2377
657	4561	2370
658	4570	2364
659	4576	2357
660	4584	2351
661	4591	2344
662	4599	2337
663	4606	2330
664	4613	2323
665	4621	2317
666	4627	2310
667	4635	2303
668	4641	2296
669	4649	2289
670	4657	2283
671	4665	2277
672	4673	2270
673	4681	2264
674	4688	2257
675	4694	2250
676	4701	2242
677	4706	2235
678	4714	2229
679	4721	2221
680	4730	2215
681	4738	2209
682	4747	2203
683	4772	2205
684	4780	2198
685	4786	2190
686	4793	2183
687	4800	2176
688	4806	2169
689	4813	2162
690	4819	2154
691	4826	2148
692	4834	2141
693	4844	2135
694	4852	2129
695	4859	2122
696	4866	2115
697	4872	2108
698	4880	2101
699	4886	2094
700	4894	2087
701	4900	2080
702	4906	2073
703	4913	2065
704	4919	2058
705	4927	2052
706	4936	2045
707	4945	2039
708	4953	2033
709	4961	2026
710	4967	2019
711	4974	2012
712	4980	2004
713	4986	1997
714	4993	1990
715	4999	1983
716	5007	1976
717	5014	1969
718	5023	1963
719	5030	1956
720	5039	1949
721	5046	1942
722	5051	1935
723	5059	1928
724	5066	1921
725	5073	1914
726	5079	1907
727	5085	1900
728	5092	1892
729	5099	1886
730	5108	1879
731	5116	1873
732	5126	1867
733	5132	1860
734	5140	1853
735	5147	1846
736	5155	1839
737	5162	1832
738	5169	1825
739	5176	1818
740	5182	1811
741	5191	1804
742	5197	1797
743	5206	1791
744	5213	1784
745	5221	1777
746	5228	1770
747	5234	1763
748	5240	1756
749	5247	1749
750	5254	1742
751	5260	1734
752	5266	1727
753	5273	1720
754	5280	1713
755	5289	1707
756	5298	1700
757	5306	1694
758	5313	1687
759	5321	1680
760	5328	1673
761	5336	1666
762	5343	1659
763	5351	1653
764	5358	1646
765	5366	1639
766	5372	1632
767	5380	1625
768	5388	1618
769	5396	1611
770	5403	1604
771	5409	1597
772	5417	1590
773	5423	1583
774	5430	1576
775	5436	1569
776	5442	1562
777	5449	1555
778	5455	1547
779	5462	1540
780	5469	1533
781	5478	1527
782	5485	1520
783	5492	1513
784	5499	1506
785	5505	1499
786	5511	1491
787	5517	1484
788	5523	1477
789	5530	1470
790	5536	1462
791	5545	1456
792	5552	1449
793	5560	1442
794	5567	1435
795	5574	1428
796	5581	1421
797	5587	1414
798	5594	1407
799	5600	1400
800	5605	1392
801	5612	1385
802	5618	1378
803	5626	1371
804	5633	1364
805	5642	1358
806	5650	1351
807	5658	1344
808	5664	1337
809	5670	1330
810	5677	1323
811	5683	1315
812	5690	1308
813	5696	1301
814	5702	1294
815	5709	1287
816	5716	1280
817	5725	1273
818	5733	1267
819	5742	1260
820	5748	1253
821	5755	1246
822	5761	1239
823	5767	1231
824	5774	1224
825	5780	1217
826	5785	1210
827	5792	1203
828	5798	1196
829	5805	1189
830	5813	1182
831	5822	1175
832	5830	1168
833	5840	1162
834	5846	1155
835	5853	1148
836	5859	1141
837	5865	1133
838	5872	1126
839	5878	1119
840	5884	1112
841	5890	1105
842	5896	1098
843	5904	1091
844	5913	1084
845	5922	1078
846	5930	1071
847	5938	1064
848	5945	1057
849	5951	1050
850	5958	1043
851	5963	1035
852	5971	1029
853	5977	1021
854	5983	1014
855	5989	1007
856	5996	1000
